mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,2-point-moving-average,3-point-moving-average,std_test_score,rank_test_score
8.032119751,0.298659345,1.207617998,0.02731268,60,1,"{'batch_size': 60, 'epochs': 1}",0.651780947,0.664895212,0.656502794,0.657726317,0.692047055,0.705922582,0.005423329,27
14.8658994,0.299492478,1.244451364,0.015356141,60,2,"{'batch_size': 60, 'epochs': 2}",0.736505506,0.709739446,0.732858427,0.726367793,0.730020715,0.733309304,0.011851912,24
21.39602256,1.154420467,1.134708405,0.029681746,60,3,"{'batch_size': 60, 'epochs': 3}",0.738395127,0.723785573,0.738840212,0.733673637,0.73678006,0.739516759,0.006994278,19
27.20644355,0.096088165,1.102537553,0.023286074,60,4,"{'batch_size': 60, 'epochs': 4}",0.745536645,0.733871738,0.740251064,0.739886482,0.742438321,0.736492968,0.004769151,16
34.29092813,0.276340509,1.174194495,0.04278603,60,5,"{'batch_size': 60, 'epochs': 5}",0.748210757,0.745222946,0.741536774,0.744990159,0.734796211,0.736775975,0.00272961,10
40.77657898,0.252361187,1.153804064,0.022241101,60,6,"{'batch_size': 60, 'epochs': 6}",0.750380011,0.724575761,0.698851013,0.724602262,0.732668884,0.7389542,0.021036634,25
46.92080744,0.083056816,1.140106122,0.044715878,60,7,"{'batch_size': 60, 'epochs': 7}",0.727497214,0.751117623,0.743591678,0.740735505,0.746130169,0.744460283,0.009852215,15
53.57980919,0.0383243,1.116143862,0.014131567,60,8,"{'batch_size': 60, 'epochs': 8}",0.755920897,0.751388705,0.747264898,0.751524833,0.746322672,0.748125788,0.003535108,5
60.69785229,0.436976431,1.175221999,0.06960094,60,9,"{'batch_size': 60, 'epochs': 9}",0.757992695,0.714929197,0.750439642,0.741120511,0.746426266,0.745937846,0.018774999,14
67.00487296,0.073654985,1.12411507,0.030655089,60,10,"{'batch_size': 60, 'epochs': 10}",0.741371889,0.758591682,0.75523249,0.75173202,0.748346514,0.747491484,0.007452976,4
91.49627177,0.866507536,1.347062031,0.019396022,60,12,"{'batch_size': 60, 'epochs': 12}",0.749374469,0.758928739,0.726579816,0.744961008,0.745371217,0.748522786,0.013570119,11
106.1987707,1.037766973,1.358861764,0.035311024,60,14,"{'batch_size': 60, 'epochs': 14}",0.762358908,0.762380041,0.712605325,0.745781425,0.750303676,0.743846881,0.023459046,8
100.4133132,0.660938372,1.163007021,0.042850518,60,15,"{'batch_size': 60, 'epochs': 15}",0.749387032,0.755793986,0.75929676,0.754825926,0.74287961,0.745069973,0.004103132,2
119.5269891,0.953336209,1.441341718,0.173765275,60,16,"{'batch_size': 60, 'epochs': 16}",0.74845674,0.758199803,0.686143335,0.730933293,0.740191997,0.744391258,0.031920078,21
135.572276,2.474759542,1.35618186,0.052438132,60,18,"{'batch_size': 60, 'epochs': 18}",0.760921307,0.740109593,0.747321204,0.749450701,0.75112024,0.746976437,0.008628748,7
140.9762064,4.363366729,1.229420821,0.071176338,60,20,"{'batch_size': 60, 'epochs': 20}",0.745568722,0.754680063,0.758120555,0.75278978,0.745739305,0.747213835,0.005295722,3
151.930289,2.268635998,1.229547501,0.105117633,60,22,"{'batch_size': 60, 'epochs': 22}",0.75402886,0.735670664,0.726366969,0.738688831,0.744425862,0.747942421,0.011492811,17
170.0080451,1.754665426,1.2442197,0.034242339,60,24,"{'batch_size': 60, 'epochs': 24}",0.744798804,0.749479861,0.756210013,0.750162893,0.752569216,0.744087939,0.004683576,6
182.682096,2.085406511,1.238971313,0.057177506,60,26,"{'batch_size': 60, 'epochs': 26}",0.752792711,0.758375691,0.753758215,0.754975539,0.741050461,0.742604759,0.002436367,1
195.7796183,1.023055404,1.214220365,0.016023487,60,28,"{'batch_size': 60, 'epochs': 28}",0.679688073,0.749587017,0.752101061,0.727125384,0.736419369,0.733241751,0.033558943,22
200.1434526,1.158686323,1.25436751,0.164817616,60,30,"{'batch_size': 60, 'epochs': 30}",0.73863174,0.749631059,0.748877266,0.745713355,0.736299934,0.738819028,0.005016905,9
225.3337471,0.81511686,1.206424793,0.050047731,60,32,"{'batch_size': 60, 'epochs': 32}",0.734608134,0.731739223,0.714312184,0.726886514,0.735371864,0.73397822,0.008968203,23
239.7740921,0.745441241,1.221278985,0.028599048,60,34,"{'batch_size': 60, 'epochs': 34}",0.749509769,0.736960194,0.745101678,0.743857214,0.737524074,0.732019453,0.005198364,12
253.614058,0.792695591,1.175941149,0.00889431,60,36,"{'batch_size': 60, 'epochs': 36}",0.701363703,0.741879115,0.750329982,0.731190933,0.726100572,0.730222982,0.021371352,20
271.8822274,1.257621253,1.221733729,0.005858491,60,38,"{'batch_size': 60, 'epochs': 38}",0.750153152,0.751340031,0.66153745,0.721010211,0.729739007,0.733705126,0.042056384,26
268.2843501,1.44016471,1.205755234,0.074650694,60,40,"{'batch_size': 60, 'epochs': 40}",0.727089487,0.742878732,0.745435191,0.738467803,0.740052584,0.740052584,0.008113094,18
332.4029973,2.781026369,1.120350043,0.019101179,60,50,"{'batch_size': 60, 'epochs': 50}",0.73308416,0.746492902,0.74533503,0.741637364,0.741637364,0.741637364,0.006066473,13
