mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,2-point moving average,std_test_score,rank_test_score
12.29133526,0.415525575,1.551349719,0.11219165,60,1,"{'batch_size': 60, 'epochs': 1}",0.71609623,0.762485484,0.715724875,0.73143553,0.744430792,0.021956157,13
24.08099461,1.072499805,1.812072992,0.067336441,60,2,"{'batch_size': 60, 'epochs': 2}",0.754446504,0.765661179,0.752170479,0.757426054,0.749902242,0.005896781,1
33.61143382,0.435267294,1.570930004,0.044487726,60,3,"{'batch_size': 60, 'epochs': 3}",0.747693601,0.757987777,0.721453911,0.74237843,0.748459096,0.015381138,7
44.61366439,0.118864974,1.50522542,0.010513765,60,4,"{'batch_size': 60, 'epochs': 4}",0.757538229,0.761762657,0.744318401,0.754539762,0.752860896,0.007430505,3
45.31331023,0.146111259,1.359547297,0.047910485,60,5,"{'batch_size': 60, 'epochs': 5}",0.770992955,0.74653222,0.736020914,0.75118203,0.751971524,0.014650972,6
71.31119951,0.056205011,1.625024796,0.028556997,60,6,"{'batch_size': 60, 'epochs': 6}",0.745050108,0.751941189,0.761291754,0.752761017,0.754242005,0.006655917,4
84.52362649,1.689598609,1.762448072,0.100118542,60,7,"{'batch_size': 60, 'epochs': 7}",0.763698376,0.743221945,0.76024866,0.755722993,0.737415643,0.008951063,2
93.19409084,3.614569013,1.692209323,0.240035906,60,8,"{'batch_size': 60, 'epochs': 8}",0.659477308,0.749083854,0.748763718,0.719108293,0.722189651,0.042165677,17
100.1504871,0.820122915,1.709589322,0.108614563,60,9,"{'batch_size': 60, 'epochs': 9}",0.743213294,0.711012382,0.721587349,0.725271008,0.730232536,0.013401534,16
89.77451301,0.393680397,1.268870036,0.00924765,60,10,"{'batch_size': 60, 'epochs': 10}",0.746095879,0.720569403,0.738916908,0.735194064,0.7213132,0.010748486,11
145.2320622,2.683813759,1.622059504,0.087161413,60,12,"{'batch_size': 60, 'epochs': 12}",0.629600904,0.733694358,0.759001747,0.707432336,0.729422578,0.055996517,21
167.1225795,5.810122214,1.74071312,0.185871397,60,14,"{'batch_size': 60, 'epochs': 14}",0.760449157,0.753774276,0.740015028,0.75141282,0.738529216,0.008507673,5
193.9487336,2.716919129,1.700817188,0.056133112,60,16,"{'batch_size': 60, 'epochs': 16}",0.752395888,0.678694998,0.745845946,0.725645611,0.720866752,0.033306611,15
203.7204618,1.534010279,1.670859814,0.103218873,60,18,"{'batch_size': 60, 'epochs': 18}",0.695286763,0.733116748,0.719860165,0.716087892,0.726886223,0.015672683,18
171.0726477,1.766520065,1.23232762,0.092629608,60,20,"{'batch_size': 60, 'epochs': 20}",0.758768982,0.709201803,0.745082876,0.737684554,0.716048542,0.020900999,9
248.5087239,6.754413487,1.666194518,0.150749394,60,22,"{'batch_size': 60, 'epochs': 22}",0.691513579,0.73490719,0.656816822,0.694412531,0.710810227,0.031946093,23
275.671723,4.899873182,1.659680128,0.069227047,60,24,"{'batch_size': 60, 'epochs': 24}",0.756083342,0.682356395,0.743184032,0.727207923,0.731208968,0.032149056,14
303.9595967,3.713160146,1.588300149,0.055589924,60,26,"{'batch_size': 60, 'epochs': 26}",0.74182013,0.746701641,0.717108267,0.735210013,0.738758899,0.012954078,10
318.6720084,7.794332208,1.585993449,0.121938727,60,28,"{'batch_size': 60, 'epochs': 28}",0.750651882,0.740589195,0.735682277,0.742307785,0.726073877,0.006230968,8
258.8265773,3.794680756,1.286454121,0.043993149,60,30,"{'batch_size': 60, 'epochs': 30}",0.7552927,0.659115332,0.715111877,0.70983997,0.721890162,0.03944081,20
336.8784447,4.476662856,1.222252369,0.035264436,60,40,"{'batch_size': 60, 'epochs': 40}",0.738022221,0.729964128,0.733834711,0.733940354,0.711788509,0.003290551,12
420.5646633,5.749502193,1.1918811,0.074078647,60,50,"{'batch_size': 60, 'epochs': 50}",0.63833598,0.711324286,0.719249721,0.689636663,0.70027034,0.036419072,24
523.2363471,22.67728465,1.445211331,0.303059749,60,60,"{'batch_size': 60, 'epochs': 60}",0.714306709,0.702327814,0.716077524,0.710904016,0.696318035,0.006107229,19
592.95506,6.740561579,1.195754846,0.024099542,60,70,"{'batch_size': 60, 'epochs': 70}",0.656061608,0.685224924,0.703909631,0.681732054,0.691561442,0.019689395,25
652.5470369,1.869245209,1.134058396,0.016461324,60,80,"{'batch_size': 60, 'epochs': 80}",0.711719118,0.691163002,0.701290368,0.701390829,0.68328029,0.0083923,22
735.461487,4.42979554,1.173121055,0.045369169,60,90,"{'batch_size': 60, 'epochs': 90}",0.666528954,0.652530221,0.676450076,0.66516975,0.664013433,0.009812422,26
814.1290503,1.050226937,1.130464951,0.022413806,60,100,"{'batch_size': 60, 'epochs': 100}",0.652906546,0.658063257,0.677601546,0.662857116,0.662857116,0.010636308,27
