mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
208.6418059,22.28214042,0.064520073,0.015278598,squared_error,4,auto,1,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 1, 'n_estimators': 100}",0.767765031,0.750378733,0.797668964,0.712860228,0.750624095,0.75585941,0.02755416,1
171.387825,54.48895229,0.042854977,0.016828561,squared_error,4,auto,2,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 2, 'n_estimators': 100}",0.767432251,0.750255528,0.797963217,0.712905175,0.750306008,0.755772436,0.027618593,2
175.126357,44.02529775,0.047010612,0.019827541,squared_error,4,auto,3,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 3, 'n_estimators': 100}",0.767428339,0.7504001,0.797662959,0.712876855,0.749489306,0.755571512,0.027563906,4
111.879895,3.856602082,0.032949495,0.004497472,squared_error,4,auto,4,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 4, 'n_estimators': 100}",0.767071519,0.750082097,0.796649671,0.712128512,0.749942207,0.755174801,0.027451759,9
127.0820509,16.30562558,0.044344521,0.018442092,squared_error,4,auto,5,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 5, 'n_estimators': 100}",0.767181863,0.749287906,0.797009349,0.711458386,0.750003566,0.754988214,0.027808801,10
160.6288161,30.5432631,0.051287937,0.01865202,squared_error,4,auto,10,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 10, 'n_estimators': 100}",0.767307046,0.747622352,0.796730345,0.711286354,0.753374851,0.75526419,0.027786651,7
125.8947346,20.95718979,0.030640459,0.002111677,squared_error,4,auto,20,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 20, 'n_estimators': 100}",0.767895087,0.748947233,0.79656711,0.710088851,0.752528391,0.755205334,0.028119933,8
141.129792,24.22699829,0.040972185,0.013115086,squared_error,4,auto,30,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 30, 'n_estimators': 100}",0.768552525,0.748531756,0.796737873,0.710787234,0.75243402,0.755408682,0.028028831,5
120.8067962,1.346677621,0.038050795,0.004180257,squared_error,4,auto,40,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 40, 'n_estimators': 100}",0.76865464,0.748551124,0.796812188,0.71044873,0.752111357,0.755315608,0.028174308,6
119.1897995,0.983099565,0.032224512,0.005291085,squared_error,4,auto,50,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 50, 'n_estimators': 100}",0.76824583,0.749224637,0.796888335,0.712247518,0.751541965,0.755629657,0.027572413,3
