mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.245682001,0.026063461,0.025646114,0.000655213,squared_error,4,auto,1,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 1}",0.724199605,0.744732977,0.762037409,0.691908152,0.700455286,0.724666686,0.026301173,12
11.30887055,0.024409062,0.026388502,0.000856419,squared_error,4,auto,10,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 10}",0.760500065,0.749344736,0.791412293,0.714174999,0.750081865,0.753102792,0.024742512,11
162.9297483,41.21107839,0.039073753,0.006463845,squared_error,4,auto,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 100}",0.767765031,0.750378733,0.797668964,0.712860228,0.750624095,0.75585941,0.02755416,10
255.8426186,3.414064717,0.04242487,0.004927321,squared_error,4,auto,200,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 200}",0.767318569,0.751055861,0.798711579,0.712763855,0.751934272,0.756356827,0.027792414,2
383.0240337,0.984623422,0.04945035,0.011803114,squared_error,4,auto,300,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 300}",0.76757831,0.751088092,0.798885711,0.712386033,0.752134776,0.756414585,0.02797723,1
511.5129586,2.689284305,0.050093508,0.005220463,squared_error,4,auto,400,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 400}",0.767143713,0.750759963,0.799034464,0.712307265,0.751943482,0.756237777,0.028031529,3
640.5417051,7.063584182,0.063345623,0.004644195,squared_error,4,auto,500,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 500}",0.766697018,0.751096674,0.799072574,0.71211185,0.751978402,0.756191304,0.02805664,5
766.3040483,3.531967008,0.060145903,0.005231413,squared_error,4,auto,600,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 600}",0.766824464,0.75110683,0.798892872,0.711618233,0.751958756,0.756080231,0.028167184,9
899.0654535,7.57829703,0.079347563,0.010951959,squared_error,4,auto,700,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 700}",0.766856983,0.751162072,0.798854848,0.711704481,0.752121882,0.756140053,0.028124197,7
1020.689219,5.1303068,0.080339575,0.013264203,squared_error,4,auto,800,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 800}",0.766849008,0.751247717,0.798883129,0.71157361,0.752125965,0.756135886,0.028170438,8
1147.641351,2.499688684,0.079599094,0.010924064,squared_error,4,auto,900,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 900}",0.766940136,0.751318615,0.7987888,0.711559326,0.752183074,0.75615799,0.028149249,6
1276.56481,6.202780376,0.317674971,0.455230262,squared_error,4,auto,1000,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 1000}",0.767074208,0.751276577,0.798858271,0.711595673,0.752177567,0.756196459,0.028170703,4
